Month,CO_Con,CO_AQI,SO2_Con,SO2_AQI,No2_con,No2_AQI,NG_Con,Tot_Petrol_AS,El_Util_Con_Petrol,Indep_Power_Cons_Petrol,Tot_Com_Indus_Petrol,Net_gen_AS,Net_gen_elec_util,Net_gen_Com/ind,Tot_Flights,Tot_Gas,Tot_ Ind_ Coal,Jet_Fuel,GEO,NG,NUC,OBG,OT,SUN,WAT,WND
15-Jan,0.746,8.508,1.362,1.392,26.1,24.372,"216,065",11,5,5,0,14246.53253,5637.23,1392.17,"64,476",4177.3,56.171,"6,108.00",1043735.01,9423313.46,1566083,484336.72,193870.1,634294.26,777015.47,174258.79
15-Feb,0.565,6.442,1.169,1.167,23.78,22.198,"165,799",6,4,1,0,12303.54033,5142.49,1186.7,"57,842",4364.9,50.573,"6,697.30",950206.01,7085593.05,1527938,401114.86,177275.09,847029.25,832879.39,599978.73
15-Mar,0.47,5.357,1.39,1.458,22.808,21.261,"168,835",5,4,1,0,14346.53259,5675.64,1297.22,"67,306",4408.7,54.717,"5,966.80",965262.02,8174665.661,1695814,456488.65,175510.12,1169145.62,820269.49,798606.03
15-Apr,0.362,4.054,1.267,1.305,18.717,17.421,"164,979",10,5,5,0,14568.67886,5237.79,1251.57,"66,291",4418.7,51.843,"6,608.60",964087.03,7862960.36,1647237,406532.33,156495.08,1333625.69,924941.48,1234461.51
15-May,0.285,3.129,0.905,0.876,12.13,11.22,"162,529",48,5,13,30,15435.01408,5531.74,1300.63,"69,056",4478.8,56.596,"7,028.40",1056928.05,7536460.74,1697962,474720.23,196879.11,1373591.13,1228234.44,1654514.45
15-Jun,0.297,3.301,1.18,1.219,14.364,13.317,"174,388",42,6,11,24,18726.65189,6498.65,1513.54,"70,018",4510.6,54.097,"6,915.80",1036208.05,10585931.57,1641225,496822.43,181533.1,1446143.59,1485328.38,1594969.39
15-Jul,0.26,2.851,1.043,1.023,11.807,10.919,"189,714",11,6,2,3,20370.89691,7329.27,1628.6,"73,526",4382.5,58.422,"6,982.40",1060354.06,11648310.62,1683443,517846.11,199208.1,1505252.15,1760988.4,1419049.87
15-Aug,0.331,3.695,1.149,1.131,14.724,13.66,"195,602",11,7,3,1,20851.43236,7316.27,1650.12,"72,893",4403.8,54.67,"6,748.00",1045819.06,12218645.68,1667985,502139.1,219337.09,1525576.17,1638297.34,1478532.71
15-Sep,0.378,4.277,1.421,1.485,20.201,18.805,"187,006",16,8,9,0,19034.01811,6762.77,1597.78,"66,776",4464.2,48.875,"6,050.70",919728.06,12005122.01,1535717,478223.1,212192.1,1304666.91,1247598.48,796748.73
15-Oct,0.47,5.364,1.26,1.218,22.991,21.439,"184,678",14,6,7,0,17230.29106,5403.52,1565.24,"69,574",4381.3,36.435,"5,816.30",991222.11,11626315.11,908279,427460.61,176070.09,1058649.06,858826.44,657090.13
15-Nov,0.63,7.174,1.262,1.217,25.851,24.141,"194,636",7,5,2,0,14125.99144,5022.95,1446.59,"66,084",4225.5,46.874,"6,225.20",962809.11,8709855.65,1367634,433580.6,187934.09,950479.05,629496.5,599388.74
15-Dec,0.686,7.811,1.306,1.212,24.929,23.246,"233,993",13,5,7,0,15464.2775,5591.85,1569.4,"68,063",4257,56.713,"6,479.00",997258.11,9354536.29,1585498,482380.7,216756.09,778293.02,940831.37,891797.64
16-Jan,0.59,6.727,1.055,0.882,22.531,20.956,"223,373",7,5,1,0,14715.75869,5785.21,1470.72,"65,805",4111.7,57.173,"5,561.80",969060.1,9013054.77,1692092,402795.18,206696.77,689502.13,1078111.34,672042.02
16-Feb,0.598,6.805,1.494,1.518,26.942,25.165,"174,197",5,5,0,0,13465.15989,5710.42,1265.5,"62,026",4281.6,52.258,"5,773.40",881833.11,7264243.89,1584207,401835.23,185291.89,1138675.65,1514559.92,511730.01
16-Mar,0.421,4.767,1.29,1.306,18.574,17.226,"162,754",6,5,1,0,14168.98808,6593.54,1200.5,"69,105",4473.2,56.362,"6,159.70",899929.1,5903592.05,1696780,410538.98,157921.46,1280447.671,2781161.92,1295520
16-Apr,0.356,3.976,1.36,1.423,17.537,16.262,"144,618",7,4,2,0,14042.95386,5875.35,1170.74,"68,141",4401.9,51.587,"6,308.90",863241.09,5780249.42,1637574,392153.46,181035.07,1515972.24,2738441.91,1305524
16-May,0.276,3.009,1.12,1.085,12.035,11.087,"145,157",46,5,2,39,15123.08358,5935.46,1264.83,"72,124",4478.8,55.456,"5,936.00",994993.06,6039495.24,849403.01,406278.6,193247.06,1829899.21,3149650.88,1571315
16-Jun,0.321,3.536,1.473,1.562,14.579,13.459,"162,945",34,6,0,28,18914.90727,7731.69,1441.38,"75,054",4546,53.869,"6,074.70",952252.05,8765325.67,1528590,445666.72,190425.09,1794189.19,3238869.41,1639532
16-Jul,0.286,3.142,1.307,1.32,13.738,12.67,"175,135",39,6,1,32,21094.70257,8577.29,1563.99,"77,726",4492,56.867,"6,668.40",1017909.05,10137250.26,1697285,461013.85,200951.65,2104346.61,3176558.51,1643969.01
16-Aug,0.322,3.57,1.208,1.158,14.336,13.247,"189,633",11,6,1,4,21239.76388,8327.69,1616.59,"78,508",4661.9,49.396,"7,486.40",1027140.05,11050147.48,1687700,473462.22,190810.84,1990221.07,2599678.67,1439594.01
16-Sep,0.391,4.439,1.418,1.482,19.535,18.066,"171,347",26,6,4,16,17988.47506,7415.16,1483.38,"71,551",4464.2,54.71,"7,277.10",1001006.05,9278249.63,1631722,424094.58,189178.87,1785333.24,2091582.85,964259.01
16-Oct,0.479,5.446,1.166,1.15,22.061,20.524,"168,407",13,5,1,7,16864.77788,6613.1,1408.3,"73,390",4381.3,55.87,"7,548.60",982380.06,9124089.28,1606459,406997.69,179785.1,1444952.87,1643180.4,911024.01
16-Nov,0.634,7.256,1.175,1.17,25.686,23.954,"173,278",6,5,0,0,13875.05555,5713.99,1267.85,"70,114",4225.5,54.761,"7,057.70",955029.07,7198147.05,1623845,383076.24,167629.09,1236758.68,1487963.48,524307.01
16-Dec,0.655,7.472,1.231,1.238,23.939,22.284,"217,558",12,5,6,0,15469.58907,6876.74,1406.91,"72,541",4257,56.589,"7,105.00",1037359.06,7987839.44,1695138,420833.11,192656.08,924765.72,2075226.73,745353.01
17-Jan,0.528,6.044,0.972,0.867,20.754,19.283,"232,305",8,5,0,2,16944.26423,8421.95,1353.8,"69,669",4147.7,57.854,"6,709.30",957472.06,7794656.61,1645132,379539.39,205992.31,968911.17,3495301.33,688639.05
17-Feb,0.459,5.246,1.202,1.205,18.413,17.079,"173,392",18,6,0,11,14061.51304,7042.03,1211.3,"62,349",4234.1,51.189,"6,877.80",870090.05,5727003.93,1526365,365361.66,180182.3,1054179.97,3313162.01,772701.84
17-Mar,0.451,5.118,1.172,1.193,20.532,19.07,"157,399",7,6,0,1,15460.99616,7504.21,1305.79,"73,292",4380.2,55.854,"6,886.20",989501.06,4828361.28,1594003,428924.24,156480.66,1827726.74,4170924.21,942276.91
17-Apr,0.352,3.971,1.058,1.042,16.943,15.681,"136,967",7,5,2,0,15030.82222,7187.55,1243.09,"71,258",4330.7,43.499,"7,682.50",961052.06,4303942.74,1412872,388244.48,149459.47,1979166.13,4151101.15,1296300.93
17-May,0.307,3.406,0.916,0.872,14.297,13.216,"143,180",7,5,1,0,17173.69472,7745.52,1366.42,"75,829",4477.6,39.54,"7,604.30",993692.05,5333192.78,840129,416716.94,190489.23,2364330.18,4815012.33,1495967.54
17-Jun,0.307,3.419,1.222,1.293,14.086,13,"147,222",7,5,2,0,18889.72132,7662.8,1417.32,"77,882",4524.6,55.518,"8,083.40",999215.04,7182315.28,958710,435388.29,200167.45,2531065.53,4416346.89,1696029.05
17-Jul,0.307,3.418,1.255,1.304,13.935,12.841,"167,736",6,6,0,0,21552.92056,9269.71,1438.32,"81,025",4483.9,48.016,"7,988.10",1014250.05,9593445.14,1648018,446026.16,191732.67,2505837.99,4287134.62,1494644.27
17-Aug,0.33,3.675,1.289,1.357,15.2,14.042,"183,337",7,7,0,0,22609.67451,9398.26,1500.66,"81,993",4572.9,52.512,"7,995.60",1014680.04,10990209.56,1682867,475191.18,197690.48,2334475.39,3895844.1,1252879.86
17-Sep,0.403,4.542,1.265,1.331,18.429,17.082,"166,203",13,8,0,5,18825.34589,7752.67,1430.65,"74,910",4514.7,55.335,"7,895.80",994338.05,8973719.88,1623061,434749.18,214987.93,2104200.21,2774178.04,1006379.8
17-Oct,0.569,6.477,1.548,1.668,26.241,24.487,"168,754",8,6,1,0,16799.09156,6458.08,1337.12,"78,249",4527.9,56.713,"7,617.50",890323.03,8425210.74,1683560,406999.19,212918.04,1937167.71,2175341.29,837886.82
17-Nov,0.603,6.886,1.23,1.202,24.846,23.16,"168,321",6,5,0,0,14209.30482,5827.48,1372.07,"74,043",4183.4,56.222,"7,449.50",1007389.05,7335253.08,1629127,393862.17,198380.6,1263258.24,1937993.42,690549.92
17-Dec,0.86,9.801,1.626,1.73,31.487,29.468,"210,260",7,5,1,0,14589.17088,6152.12,1405.85,"76,857",4047,58.283,"7,589.20",1053135.05,7731968.55,1681157,431396.15,212416.85,1274812.79,2009727.93,439102.61
18-Jan,0.665,7.591,1.153,1.065,25.192,23.469,"196,195",5,5,0,0,13693.1245,6005.15,1374.04,"74,383",3892.3,57.973,"7,032.10",1020303.06,7065135.76,1666162,422256.47,192254.51,1266560.7,1623641.51,518447.2
18-Feb,0.569,6.496,1.266,1.225,25.979,24.231,"180,118",21,5,0,15,12702.29864,4798.04,1230.92,"66,779",4069.3,52.194,"7,359.50",860023.06,6230888.22,982658,391386.49,168069.06,1709378.13,1188048.41,822182.59
18-Mar,0.403,4.563,1.089,1.055,19.31,17.908,"188,187",6,5,0,1,14038.57784,5323.11,1376.46,"76,255",4470.2,54.549,"7,229.00",1014751.07,6438836.63,1044649,393132.34,171317.06,1922198.56,1634440.38,926848.4
18-Apr,0.34,3.832,1.108,1.032,16.194,14.991,"145,864",5,5,0,0,14811.40862,6358.81,1260.76,"76,342",4398.9,52.265,"7,367.50",890838.07,4850770.77,1546429,375356.41,171689.73,2414897.56,2929475.08,1486434.08
18-May,0.266,2.898,0.991,0.894,12.104,11.15,"138,969",15,5,1,8,15932.21339,6128.59,1386.05,"79,945",4559.2,55.506,"7,634.70",1010620.05,4456010.2,1682832,415479.02,186475.38,2836357.52,2910112.96,1894879.67
18-Jun,0.273,2.99,1.254,1.218,13.149,12.119,"143,361",10,5,4,1,17513.98758,6780.26,1386.99,"80,747",4602.3,54.677,"8,383.00",990560.04,6076043.36,1637278,454885.09,181954.98,3002785.97,2776129.18,1737934.56
18-Jul,0.298,3.289,1.343,1.346,13.278,12.245,"185,992",60,8,7,45,22356.08129,8564.11,1478.46,"84,100",4640.4,55.949,"8,243.70",988812.06,11185956.71,1686429,460061.16,202173.19,2705363.28,3011347.06,1545819.54
18-Aug,0.366,4.165,1.207,1.148,14.519,13.388,"178,351",8,6,1,0,20994.23493,7791.97,1478.93,"84,328",4770.2,58.376,"8,637.60",977690.04,10311991.1,1675206,467964.67,200639.92,2667293.77,2731360.67,1703317.89
18-Sep,0.37,4.185,1.316,1.316,17.661,16.371,"160,657",6,5,0,0,17591.57544,6508.68,1409.74,"76,147",4636.5,55.579,"8,372.60",976693.06,7900993.73,1614539,458372.32,184305.82,2436821.44,2204977.31,1079251.65
18-Oct,0.433,4.913,1.165,1.13,22.137,20.576,"168,809",7,5,2,0,16863.71762,6283.46,1354.03,"79,092",4574.9,44.649,"8,055.40",896523.12,8880578.42,1667782,441235.23,198151.08,1996315.26,1387203.46,799800.54
18-Nov,0.747,8.516,1.389,1.426,27.785,25.958,"179,877",5,5,0,0,14604.62357,5356.37,1240.05,"74,819",4334.7,44.826,"7,541.70",917920.12,7966990.85,1576166,411223.24,184411.41,1450883.96,1180323.9,643639.71
18-Dec,0.634,7.264,0.949,0.812,22.786,21.173,"211,736",9,5,1,3,14363.79477,5340.23,1368.71,"76,732",4489.8,48.577,"7,708.50",983252.12,7924402.35,1487667,441704.79,205096.84,1230217.48,1351181.5,676700.39
19-Jan,0.602,6.882,0.979,0.821,23.203,21.581,"211,720",6,5,1,0,14124.21415,5564.62,1374.55,"74,457",4229.6,54.404,"6,965.10",962409.06,7419011.15,1681619,451662.76,190738.68,1303241.89,1426102.07,508976.89
19-Feb,0.443,5.068,0.773,0.584,19.69,18.261,"211,208",10,5,1,4,14225.02745,5487.18,1249.12,"65,955",4458,50.352,"7,360.80",919938.06,6966883.26,987002,382971.76,180683.11,1443850.77,2262991.67,953859.28
19-Mar,0.419,4.791,0.956,0.822,18.492,17.127,"180,449",7,5,1,1,16547.32858,7451.79,1385.6,"76,484",4633.8,56.18,"7,392.60",921762.26,6030817.96,1130399,400539.01,179282.66,2127201.69,3961277.78,1029663.1
19-Apr,0.343,3.846,1.122,1.036,16.294,15.055,"137,278",21,7,1,13,16204.2975,7532.46,1248.92,"75,932",4459.1,55.514,"7,922.90",832106.08,4274075.37,1551845,361669.3,172389.38,2480176.63,4379143.95,1506008.2
19-May,0.275,2.991,0.953,0.85,12.334,11.338,"139,686",6,5,1,0,16253.8993,7176.68,1339.63,"78,646",4399.7,49.154,"7,955.60",955091.09,3768509.39,1692734,414304.55,176128.26,2577667.73,4276365.32,1700256.4
19-Jun,0.286,3.128,1.21,1.19,13.202,12.147,"133,348",6,5,1,0,17939.47539,7787.9,1374.65,"80,382",4546.5,55.952,"8,510.70",973441.08,5061986.29,1632860,451855.07,184934.17,3057427.84,4435202.25,1597870.62
19-Jul,0.277,3.086,1.162,1.075,13.864,12.77,"161,939",7,6,0,0,20917.46068,8808.32,1423.57,"84,495",4461.3,7.165,"8,228.30",985778.06,8093575.19,1687150,471336.6,173614.1,3162081.14,4135727.2,1685752.39
19-Aug,0.324,3.672,1.278,1.247,16.146,14.926,"176,491",8,7,1,0,21776.20876,9034.87,1441.58,"85,583",4900.8,0,"7,839.80",997330.06,9571496.88,1677931,468823.79,173427.09,3046213.78,3773050.85,1393451.06
19-Sep,0.353,4.001,1.263,1.218,17.612,16.303,"164,347",6,6,1,0,18268.61986,6948.43,1383.63,"75,655",4241.4,31.063,"7,585.30",987126.06,8345952.39,1369770,448893.26,184534.08,2537889.83,2703352.48,1266887.22
19-Oct,0.524,6.022,1.522,1.566,27.467,25.61,"172,788",19,6,12,1,16451.65925,5895.25,1382.51,"79,337",4041,56.393,"7,336.80",873975.06,8385614.38,839895,424561.28,210604.07,2326835.68,2121538.44,882111
19-Nov,0.623,7.119,1.364,1.356,29.566,27.61,"193,167",7,5,1,1,14350.86437,5437.16,1359.51,"74,066",4158.5,54.142,"6,977.80",724039.14,8406774.89,800964,434587.91,210445.1,1537464.83,1582881.75,361929.36
19-Dec,0.592,6.786,0.942,0.787,22.209,20.612,"211,218",8,6,2,1,14725.14902,5815.15,1425.77,"77,771",4234.1,56.138,"7,339.30",833835.14,8452230.04,1110811,457224.15,204680.08,1103125.09,1933378.17,539594.85
20-Jan,0.612,7.009,1.041,0.893,23.941,22.248,"212,357",9,6,2,1,14274.8188,5480.4,1404.6,"75,055",4263.4,47.666,"7,178.20",872239.05,6758246.28,1689545,458973.72,188254.86,1435854.13,1527453.27,926645.62
20-Feb,0.551,6.312,1.153,1.073,25.097,23.341,"172,560",7,5,1,1,13255.32019,4749.71,1208.26,"69,264",4267.4,52.059,"6,791.80",794646.1,6050275.23,1486059,415313.11,145365.69,1903122.21,1121393.48,761156.8
20-Mar,0.336,3.765,0.852,0.743,16.085,14.844,"183,374",7,5,2,0,14698.8057,5181.26,1322.92,"62,570",3239.2,47.599,"5,335.50",948020.05,6674334.53,1671026,413349.01,139637.47,1971490.81,1100573.98,979087.39
20-Apr,0.287,3.141,0.765,0.596,12.815,11.787,,5,4,0,0,13892.96757,4970.92,1281.17,"18,020",2196.8,44.524,"2,709.10",941271.07,4731835.5,1630645,372531.23,177276.5,2377487.36,1800990.77,1571970.98
20-May,0.275,3.016,0.912,0.755,12.489,11.486,"126,409",7,4,0,3,15338.96614,5686.14,1325.79,"16,548",2855.7,48.666,"2,792.10",868927.06,4502925.07,1597652,408429.18,198912.82,3062120.89,2511557.94,1629452.94
20-Jun,0.261,2.836,1.019,0.914,11.784,10.83,"136,101",7,5,1,0,16788.13181,6292.15,1347.31,"23,215",3437,42.66,"3,351.90",967289.05,6232777.93,1628068,401917.76,199166.51,3071829.89,2365474.74,1635338.87
20-Jul,0.28,3.09,1.025,0.874,12.283,11.306,"159,573",10,7,2,0,19575.57272,7065.47,1424.97,"34,755",3541.3,51.131,"3,979.70",1030755.05,8816842.28,1278695,440713.42,216057.23,3402595.25,2503197.46,1607279.97
20-Aug,0.407,4.637,1.106,1.011,15.303,14.104,"181,929",15,6,7,1,21758.5948,8090.54,1451.32,"35,983",3627.2,48.768,"3,777.30",1009639.05,11278098.22,1623712,461149.83,228583.88,2855343.32,2502209.95,1410098.99
