date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-4,0.0,8.7,2,72,03:24 PM,04:37 AM,08:00 AM,05:51 PM,-19,-1,1,-1,9,0,23,0.0,1020,5,10,153,5,california
2015-01-02,8,-2,0.0,8.7,2,80,04:11 PM,05:35 AM,08:00 AM,05:52 PM,-12,3,3,3,7,1,33,0.0,1020,8,10,228,4,california
2015-01-03,10,1,0.0,8.7,3,87,05:02 PM,06:28 AM,08:01 AM,05:53 PM,-11,4,6,4,14,3,30,0.0,1023,10,10,247,7,california
2015-01-04,12,2,0.0,8.7,3,94,05:55 PM,07:19 AM,08:01 AM,05:53 PM,-6,6,7,6,8,3,40,0.0,1027,12,10,164,4,california
2015-01-05,14,3,0.0,8.7,4,100,06:49 PM,08:04 AM,08:01 AM,05:54 PM,-8,7,9,7,13,1,30,0.0,1027,14,10,81,7,california
2015-01-06,17,7,0.0,8.7,4,100,07:44 PM,08:45 AM,08:01 AM,05:55 PM,-3,11,12,11,19,1,38,0.0,1024,17,10,100,11,california
2015-01-07,20,8,0.0,8.7,5,84,08:38 PM,09:23 AM,08:01 AM,05:56 PM,-2,13,13,13,14,14,37,0.0,1021,20,10,57,8,california
2015-01-08,20,8,0.0,8.7,5,77,09:32 PM,09:57 AM,08:01 AM,05:57 PM,-1,13,14,13,11,16,39,0.0,1017,20,10,221,6,california
2015-01-09,18,10,0.0,8.7,4,69,10:25 PM,10:29 AM,08:01 AM,05:58 PM,-5,13,13,13,9,27,29,0.0,1015,18,10,215,5,california
2015-01-10,15,7,0.0,8.7,4,62,11:19 PM,11:01 AM,08:01 AM,05:59 PM,-1,11,11,11,10,23,45,0.1,1015,15,10,203,6,california
2015-01-11,11,8,0.0,8.7,2,55,No moonrise,11:32 AM,08:01 AM,05:59 PM,4,8,9,8,15,41,72,17.6,1018,11,8,81,10,california
2015-01-12,14,5,0.0,10.0,4,48,12:13 AM,12:04 PM,08:00 AM,06:00 PM,2,7,9,7,18,10,67,0.0,1020,14,10,284,11,california
2015-01-13,13,4,0.0,10.0,3,40,01:08 AM,12:37 PM,08:00 AM,06:01 PM,-2,7,8,7,13,5,51,0.0,1021,13,10,177,8,california
2015-01-14,12,3,0.0,10.0,3,33,02:04 AM,01:14 PM,08:00 AM,06:02 PM,-6,7,8,7,8,0,39,0.0,1023,12,10,172,5,california
2015-01-15,14,3,0.0,10.0,3,26,03:02 AM,01:56 PM,08:00 AM,06:03 PM,-5,8,8,8,6,19,40,0.0,1025,14,10,166,4,california
2015-01-16,15,4,0.0,10.0,4,19,04:01 AM,02:42 PM,08:00 AM,06:04 PM,-5,10,10,10,8,17,36,0.0,1023,15,10,151,5,california
2015-01-17,16,5,0.0,10.5,4,11,05:00 AM,03:35 PM,07:59 AM,06:05 PM,-3,11,11,11,8,21,39,0.0,1023,16,10,249,4,california
2015-01-18,18,7,0.0,5.2,3,4,05:59 AM,04:34 PM,07:59 AM,06:06 PM,-4,12,12,12,6,60,33,0.0,1023,18,10,158,3,california
2015-01-19,18,8,0.0,10.5,4,0,06:55 AM,05:39 PM,07:59 AM,06:07 PM,-5,12,12,12,15,35,29,0.0,1021,18,10,276,8,california
2015-01-20,15,8,0.0,8.4,3,0,07:47 AM,06:47 PM,07:58 AM,06:08 PM,-5,11,11,11,11,45,32,0.0,1017,15,10,208,6,california
2015-01-21,15,5,0.0,10.5,4,3,08:35 AM,07:58 PM,07:58 AM,06:09 PM,-7,9,10,9,14,1,30,0.0,1018,15,10,145,8,california
2015-01-22,13,4,0.0,10.0,3,10,09:19 AM,09:07 PM,07:57 AM,06:10 PM,-11,8,9,8,7,42,25,0.0,1024,13,10,140,4,california
2015-01-23,14,3,0.0,10.5,4,18,10:01 AM,10:16 PM,07:57 AM,06:11 PM,-12,9,9,9,9,1,23,0.0,1025,14,10,114,5,california
2015-01-24,17,5,0.0,10.6,4,25,10:40 AM,11:23 PM,07:56 AM,06:12 PM,-11,10,11,10,18,0,22,0.0,1022,17,10,116,12,california
2015-01-25,19,6,0.0,10.6,4,32,11:20 AM,No moonset,07:56 AM,06:13 PM,-5,12,12,12,13,9,30,0.0,1020,19,10,94,8,california
2015-01-26,14,10,0.0,10.0,3,39,11:59 AM,12:28 AM,07:55 AM,06:14 PM,0,10,12,10,26,61,46,4.9,1018,14,9,84,17,california
2015-01-27,13,7,0.0,10.6,3,47,12:40 PM,01:31 AM,07:55 AM,06:15 PM,6,10,10,10,9,38,73,0.4,1022,13,10,65,6,california
2015-01-28,15,8,0.0,8.5,3,54,01:24 PM,02:31 AM,07:54 AM,06:16 PM,4,11,12,11,14,45,62,0.0,1022,15,10,44,9,california
2015-01-29,17,9,0.0,10.0,3,61,02:10 PM,03:30 AM,07:53 AM,06:17 PM,0,13,13,13,14,59,43,0.0,1018,17,10,93,9,california
2015-01-30,14,9,0.0,6.9,3,69,02:59 PM,04:24 AM,07:53 AM,06:18 PM,4,11,11,11,11,80,60,2.2,1014,14,7,248,7,california
