date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,11,4,0.0,8.7,3,79,08:33 PM,10:11 AM,08:00 AM,05:51 PM,-6,6,7,6,12,5,38,0.0,1020,11,10,158,7,california
2021-01-02,12,5,0.0,8.7,3,71,09:39 PM,10:51 AM,08:01 AM,05:52 PM,-5,8,9,8,10,22,39,0.0,1023,12,10,256,6,california
2021-01-03,13,6,0.0,8.7,3,64,10:44 PM,11:27 AM,08:01 AM,05:53 PM,2,8,9,8,10,11,62,0.0,1022,13,10,252,5,california
2021-01-04,16,6,0.0,8.7,4,57,11:50 PM,11:59 AM,08:01 AM,05:54 PM,2,9,10,9,15,12,59,0.0,1019,16,10,198,10,california
2021-01-05,15,7,0.0,8.7,4,50,No moonrise,12:30 PM,08:01 AM,05:55 PM,2,9,10,9,15,16,60,0.0,1020,15,10,186,9,california
2021-01-06,15,8,0.0,8.7,4,42,12:56 AM,01:01 PM,08:01 AM,05:56 PM,-3,11,11,11,9,28,37,0.0,1021,15,10,92,5,california
2021-01-07,15,7,0.0,7.0,3,35,02:03 AM,01:34 PM,08:01 AM,05:56 PM,-6,11,11,11,6,45,32,0.0,1021,15,10,183,3,california
2021-01-08,16,8,0.0,8.7,4,28,03:12 AM,02:10 PM,08:01 AM,05:57 PM,-3,11,12,11,17,22,37,0.0,1020,16,10,269,10,california
2021-01-09,14,5,0.0,8.7,3,20,04:23 AM,02:51 PM,08:01 AM,05:58 PM,-3,8,9,8,13,3,47,0.0,1020,14,10,168,7,california
2021-01-10,13,5,0.0,8.7,3,13,05:34 AM,03:40 PM,08:01 AM,05:59 PM,-9,9,9,9,6,7,27,0.0,1024,13,10,108,4,california
2021-01-11,14,6,0.0,10.0,4,6,06:42 AM,04:35 PM,08:01 AM,06:00 PM,-6,9,10,9,10,7,33,0.0,1024,14,10,142,5,california
2021-01-12,14,5,0.0,10.0,3,0,07:45 AM,05:37 PM,08:00 AM,06:01 PM,-7,10,9,10,5,31,32,0.0,1024,14,10,83,3,california
2021-01-13,15,6,0.0,10.0,4,0,08:40 AM,06:42 PM,08:00 AM,06:02 PM,-4,11,11,11,6,3,35,0.0,1025,15,10,202,3,california
2021-01-14,19,8,0.0,10.0,4,1,09:26 AM,07:48 PM,08:00 AM,06:03 PM,-1,13,13,13,6,0,39,0.0,1024,19,10,155,3,california
2021-01-15,20,10,0.0,10.0,5,8,10:05 AM,08:52 PM,08:00 AM,06:04 PM,-3,14,14,14,8,2,32,0.0,1022,20,10,113,4,california
2021-01-16,21,10,0.0,10.5,5,16,10:38 AM,09:53 PM,07:59 AM,06:05 PM,-4,15,16,15,9,9,29,0.0,1018,21,10,178,5,california
2021-01-17,19,11,0.0,10.5,5,23,11:08 AM,10:51 PM,07:59 AM,06:06 PM,-4,15,15,15,9,0,29,0.0,1018,19,10,89,5,california
2021-01-18,19,10,0.0,8.4,4,30,11:35 AM,11:48 PM,07:59 AM,06:07 PM,-4,14,15,14,23,33,28,0.0,1011,19,10,104,16,california
2021-01-19,11,7,0.0,10.5,2,38,12:01 PM,No moonset,07:58 AM,06:08 PM,-10,6,9,6,48,12,23,0.1,1015,11,10,56,33,california
2021-01-20,15,7,0.0,10.5,4,45,12:27 PM,12:44 AM,07:58 AM,06:09 PM,-5,8,10,8,27,23,34,0.0,1019,15,10,34,17,california
2021-01-21,16,7,0.0,10.5,4,52,12:54 PM,01:40 AM,07:58 AM,06:10 PM,-1,10,11,10,16,14,46,0.0,1016,16,10,263,10,california
2021-01-22,12,7,0.0,10.5,3,59,01:25 PM,02:36 AM,07:57 AM,06:11 PM,-3,7,9,7,33,11,43,0.0,1012,12,10,240,22,california
2021-01-23,8,4,0.0,8.4,2,67,01:59 PM,03:34 AM,07:57 AM,06:12 PM,-1,3,6,3,18,57,65,1.6,1011,8,9,199,12,california
2021-01-24,10,2,0.0,10.6,2,74,02:38 PM,04:32 AM,07:56 AM,06:13 PM,-2,3,6,3,23,25,59,0.0,1011,10,10,263,17,california
2021-01-25,4,2,0.0,10.6,1,81,03:24 PM,05:30 AM,07:55 AM,06:14 PM,-5,-4,3,-4,66,40,55,0.2,1005,4,10,282,50,california
2021-01-26,6,1,0.0,10.6,2,88,04:17 PM,06:26 AM,07:55 AM,06:15 PM,-6,-1,3,-1,25,12,53,0.0,1012,6,10,278,18,california
2021-01-27,7,0,0.0,5.3,1,96,05:17 PM,07:19 AM,07:54 AM,06:16 PM,-2,2,4,2,20,79,64,0.5,1018,7,9,209,14,california
2021-01-28,7,3,0.0,8.5,2,100,06:20 PM,08:06 AM,07:54 AM,06:17 PM,1,3,5,3,14,58,74,12.5,1014,7,9,144,9,california
2021-01-29,8,4,0.0,10.0,2,90,07:28 PM,08:49 AM,07:53 AM,06:18 PM,0,2,6,2,29,53,68,10.5,1012,8,9,233,23,california
2021-01-30,10,3,0.0,10.7,3,82,08:35 PM,09:27 AM,07:52 AM,06:19 PM,-2,5,6,5,10,7,60,0.0,1021,10,10,153,6,california
2021-01-31,13,5,0.0,10.7,3,79,09:42 PM,10:01 AM,07:52 AM,06:20 PM,-4,8,9,8,12,14,42,0.0,1022,13,10,34,7,california
2021-02-01,14,9,0.0,10.7,4,63,10:49 PM,10:32 AM,07:51 AM,06:21 PM,-4,11,11,11,12,42,36,0.0,1019,14,10,102,7,california
2021-02-02,16,8,0.0,10.7,4,55,11:56 PM,11:04 AM,07:50 AM,06:22 PM,2,11,12,11,17,5,53,0.0,1018,16,10,216,11,california
2021-02-03,12,8,0.0,10.7,4,48,No moonrise,11:36 AM,07:49 AM,06:23 PM,3,7,10,7,28,6,64,0.0,1017,12,10,261,20,california
2021-02-04,13,4,0.0,10.8,3,40,01:04 AM,12:10 PM,07:48 AM,06:24 PM,-4,7,8,7,11,1,45,0.0,1021,13,10,151,7,california
2021-02-05,16,6,0.0,10.8,4,33,02:13 AM,12:49 PM,07:48 AM,06:25 PM,-5,11,11,11,7,0,35,0.0,1019,16,10,216,5,california
2021-02-06,16,6,0.0,10.8,4,25,03:23 AM,01:34 PM,07:47 AM,06:26 PM,-5,11,11,11,6,0,35,0.0,1017,16,10,129,4,california
